"MatchID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Gene_Description","SPOT_ID","logFC_Tumor_vs_Normal_Pos","adjP_Tumor_vs_Normal_Pos","B_Tumor_vs_Normal_Pos"
"A_23_P153301",5.27100000000001,8.19888,7.76868014955066,0.00000000000652306621585581,0.0000000019361370723946,16.7757321620474,"CEACAM5","CEA cell adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:1817]","A_23_P153301",5.27100000000001,0.0000000019361370723946,16.7757321620474
"A_23_P58266",4.66339285714286,8.13584,8.70138965996397,0.0000000000000610212890241299,0.000000000119817647971534,21.2843605517341,"S100P","S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]","A_23_P58266",4.66339285714286,0.000000000119817647971534,21.2843605517341
"A_23_P218442",4.56671428571429,8.31284,7.50666656356305,0.0000000000237627064163832,0.0000000043637902444935,15.5286500144715,"CEACAM6","CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]","A_23_P218442",4.56671428571429,0.0000000043637902444935,15.5286500144715
"A_33_P3342752",4.33385714285714,8.12119,8.21605622048025,0.000000000000701876801349459,0.00000000061447449321424,18.9270109591228,"CAPN8","calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]","A_33_P3342752",4.33385714285714,0.00000000061447449321424,18.9270109591228
"A_24_P237175",4.31685714285714,10.20878,7.15837682523631,0.000000000130129802962607,0.0000000144803208304104,13.8891402125335,"CST2","cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]","A_24_P237175",4.31685714285714,0.0000000144803208304104,13.8891402125335
"A_33_P3216610",4.31085714285714,7.25789,8.16055672884554,0.00000000000092669898718947,0.000000000676949549544708,18.6588393240389,"TMPRSS4","transmembrane serine protease 4 [Source:HGNC Symbol;Acc:HGNC:11878]","A_33_P3216610",4.31085714285714,0.000000000676949549544708,18.6588393240389
"A_24_P917886",4.17496428571429,13.45191,7.06141254300707,0.000000000208051887389943,0.0000000208264018726105,13.4369056866077,"MUC5AC","mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]","A_24_P917886",4.17496428571429,0.0000000208264018726105,13.4369056866077
"A_23_P112859",4.11364285714286,10.28312,6.99255792754938,0.000000000289981176934624,0.000000027113771144444,13.1169867055615,"CST1","cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]","A_23_P112859",4.11364285714286,0.000000027113771144444,13.1169867055615
"A_23_P203267",4.07928571428572,6.50787,8.51275140866496,0.000000000000158067610095031,0.000000000268988921019051,20.3657624977508,"TRIM29","tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]","A_23_P203267",4.07928571428572,0.000000000268988921019051,20.3657624977508
"A_33_P3301331",3.9995,12.30875,8.42384831713991,0.00000000000024729505391617,0.000000000361334565365624,19.9338066394052,"CEACAM3","CEA cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:1815]","A_33_P3301331",3.9995,0.000000000361334565365624,19.9338066394052
"A_33_P3420466",3.98514285714286,8.42995,7.41831000843837,0.0000000000366555067589412,0.00000000584792790955458,15.1106286049212,"MATN3","matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]","A_33_P3420466",3.98514285714286,0.00000000584792790955458,15.1106286049212
"A_33_P3268507",3.87528571428571,11.91345,8.76223882934111,0.0000000000000448640801541211,0.000000000108273653222073,21.5812052197529,"CEACAM1","CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]","A_33_P3268507",3.87528571428571,0.000000000108273653222073,21.5812052197529
"A_24_P228302",3.82335714285715,10.30284,7.53740386968677,0.0000000000204303609348608,0.00000000398095720017754,15.6743821546181,"CEACAM7","CEA cell adhesion molecule 7 [Source:HGNC Symbol;Acc:HGNC:1819]","A_24_P228302",3.82335714285715,0.00000000398095720017754,15.6743821546181
"A_33_P3511265",3.81575,12.54872,6.70472044282782,0.0000000011486268867488,0.000000076353775810286,11.7913630073413,"POSTN","periostin [Source:HGNC Symbol;Acc:HGNC:16953]","A_33_P3511265",3.81575,0.000000076353775810286,11.7913630073413
"A_24_P236935",3.78139285714286,7.91883,8.04151979087071,0.00000000000167981865065224,0.000000000932153279924978,18.0848113458449,"KLK6","kallikrein related peptidase 6 [Source:HGNC Symbol;Acc:HGNC:6367]","A_24_P236935",3.78139285714286,0.000000000932153279924978,18.0848113458449
"A_24_P169507",3.72060714285714,11.53834,5.33842252570278,0.000000571766237289368,0.00000756212692904063,5.83355495036946,"MUC17","mucin 17, cell surface associated [Source:HGNC Symbol;Acc:HGNC:16800]","A_24_P169507",3.72060714285714,0.00000756212692904063,5.83355495036946
"A_23_P24129",3.70310714285714,6.571,8.42476085019851,0.000000000000246162486507509,0.000000000361334565365624,19.938236950558,"DKK1","dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]","A_23_P24129",3.70310714285714,0.000000000361334565365624,19.938236950558
"A_24_P58673",3.67746428571429,6.17488,4.89619158806518,0.00000368276356195065,0.0000310191742473501,4.05903217129059,"REG4","regenerating family member 4 [Source:HGNC Symbol;Acc:HGNC:22977]","A_24_P58673",3.67746428571429,0.0000310191742473501,4.05903217129059
"A_24_P43810",3.61414285714286,5.43359,7.44055916142851,0.0000000000328694421183803,0.000000005378367817396,15.2157634505644,"FAM83A","family with sequence similarity 83 member A [Source:HGNC Symbol;Acc:HGNC:28210]","A_24_P43810",3.61414285714286,0.000000005378367817396,15.2157634505644
"A_33_P3304668",3.57489285714286,11.98595,7.34566958836526,0.0000000000522944781377703,0.00000000733444422497101,14.7679937813927,"COL1A1","collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]","A_33_P3304668",3.57489285714286,0.00000000733444422497101,14.7679937813927
"A_23_P214144",3.57357142857143,11.76627,7.80215145656892,0.00000000000552594215115676,0.00000000176318999188034,16.9357881045592,"COL10A1","collagen type X alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2185]","A_23_P214144",3.57357142857143,0.00000000176318999188034,16.9357881045592
"A_24_P222872",3.53325,6.17243,7.58753964373259,0.0000000000159624335878486,0.00000000350865052557902,15.9124207108031,"UGT1A9","UDP glucuronosyltransferase family 1 member A9 [Source:HGNC Symbol;Acc:HGNC:12541]","A_24_P222872",3.53325,0.00000000350865052557902,15.9124207108031
"A_24_P222872",3.53325,6.17243,7.58753964373259,0.0000000000159624335878486,0.00000000350865052557902,15.9124207108031,"UGT1A1","UDP glucuronosyltransferase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:12530]","A_24_P222872",3.53325,0.00000000350865052557902,15.9124207108031
"A_24_P222872",3.53325,6.17243,7.58753964373259,0.0000000000159624335878486,0.00000000350865052557902,15.9124207108031,"UGT1A5","UDP glucuronosyltransferase family 1 member A5 [Source:HGNC Symbol;Acc:HGNC:12537]","A_24_P222872",3.53325,0.00000000350865052557902,15.9124207108031
"A_24_P222872",3.53325,6.17243,7.58753964373259,0.0000000000159624335878486,0.00000000350865052557902,15.9124207108031,"UGT1A7","UDP glucuronosyltransferase family 1 member A7 [Source:HGNC Symbol;Acc:HGNC:12539]","A_24_P222872",3.53325,0.00000000350865052557902,15.9124207108031
"A_24_P222872",3.53325,6.17243,7.58753964373259,0.0000000000159624335878486,0.00000000350865052557902,15.9124207108031,"UGT1A4","UDP glucuronosyltransferase family 1 member A4 [Source:HGNC Symbol;Acc:HGNC:12536]","A_24_P222872",3.53325,0.00000000350865052557902,15.9124207108031
"A_24_P222872",3.53325,6.17243,7.58753964373259,0.0000000000159624335878486,0.00000000350865052557902,15.9124207108031,"UGT1A10","UDP glucuronosyltransferase family 1 member A10 [Source:HGNC Symbol;Acc:HGNC:12531]","A_24_P222872",3.53325,0.00000000350865052557902,15.9124207108031
"A_24_P222872",3.53325,6.17243,7.58753964373259,0.0000000000159624335878486,0.00000000350865052557902,15.9124207108031,"UGT1A8","UDP glucuronosyltransferase family 1 member A8 [Source:HGNC Symbol;Acc:HGNC:12540]","A_24_P222872",3.53325,0.00000000350865052557902,15.9124207108031
