"MatchID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Gene_Description","SPOT_ID","logFC_Tumor_vs_Normal_Neg","adjP_Tumor_vs_Normal_Neg","B_Tumor_vs_Normal_Neg"
"A_24_P237175",5.38027272727273,10.20878,7.90830654056195,0.00000000000326186372555546,0.00000000925137038428096,17.4008223866767,"CST2","cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]","A_24_P237175",5.38027272727273,0.00000000925137038428096,17.4008223866767
"A_23_P112859",5.20818181818182,10.28312,7.84743904008182,0.00000000000441385522849711,0.00000000991423636384408,17.1116217523289,"CST1","cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]","A_23_P112859",5.20818181818182,0.00000000991423636384408,17.1116217523289
"A_23_P153301",4.87572727272727,8.19888,6.36980232053064,0.00000000555309905864686,0.000000832279262377928,10.2925275287361,"CEACAM5","CEA cell adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:1817]","A_23_P153301",4.87572727272727,0.000000832279262377928,10.2925275287361
"A_23_P58266",4.68468181818182,8.13584,7.74816816604189,0.00000000000722051922214413,0.0000000115194358540282,16.6410076819297,"S100P","S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]","A_23_P58266",4.68468181818182,0.0000000115194358540282,16.6410076819297
"A_33_P3313110",4.44181818181818,7.98143,6.85323180603581,0.000000000565944706478749,0.000000185209033045853,12.4722154406746,"MUC16","mucin 16, cell surface associated [Source:HGNC Symbol;Acc:HGNC:15582]","A_33_P3313110",4.44181818181818,0.000000185209033045853,12.4722154406746
"A_33_P3216610",4.41886363636364,7.25789,7.41479385858615,0.0000000000372922228773401,0.0000000352563437469253,15.0712277753084,"TMPRSS4","transmembrane serine protease 4 [Source:HGNC Symbol;Acc:HGNC:11878]","A_33_P3216610",4.41886363636364,0.0000000352563437469253,15.0712277753084
"A_23_P203267",4.32204545454545,6.50787,7.99479774814324,0.00000000000212057996683776,0.00000000773284631907154,17.8125667671034,"TRIM29","tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]","A_23_P203267",4.32204545454545,0.00000000773284631907154,17.8125667671034
"A_24_P236935",4.31572727272727,7.91883,8.13528276169434,0.00000000000105158722126536,0.00000000447380256833659,18.4832119200779,"KLK6","kallikrein related peptidase 6 [Source:HGNC Symbol;Acc:HGNC:6367]","A_24_P236935",4.31572727272727,0.00000000447380256833659,18.4832119200779
"A_33_P3342752",4.21031818181819,8.12119,7.0751565384264,0.000000000194686715780414,0.000000110434957933574,13.4916772431117,"CAPN8","calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]","A_33_P3342752",4.21031818181819,0.000000110434957933574,13.4916772431117
"A_23_P218442",4.19681818181818,8.31284,6.11499017997098,0.0000000180332435703351,0.00000197560761964109,9.16975168912313,"CEACAM6","CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]","A_23_P218442",4.19681818181818,0.00000197560761964109,9.16975168912313
"A_24_P84396",4.15972727272727,6.83688,8.239783722894,0.000000000000623194998188869,0.00000000447380256833659,18.9834505922753,"CEMIP","cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]","A_24_P84396",4.15972727272727,0.00000000447380256833659,18.9834505922753
"A_23_P214144",4.01522727272727,11.76627,7.77059665370744,0.00000000000646142746634702,0.0000000109956265003983,16.7472168102167,"COL10A1","collagen type X alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2185]","A_23_P214144",4.01522727272727,0.0000000109956265003983,16.7472168102167
"A_24_P169507",3.8375,11.53834,4.88067446936751,0.00000392531227804542,0.00008035085902918,4.06211224514728,"MUC17","mucin 17, cell surface associated [Source:HGNC Symbol;Acc:HGNC:16800]","A_24_P169507",3.8375,0.00008035085902918,4.06211224514728
"A_23_P39056",3.80540909090909,7.80809,5.94648633231398,0.0000000388659178301342,0.00000320213690715722,8.43848288519863,"KLK7","kallikrein related peptidase 7 [Source:HGNC Symbol;Acc:HGNC:6368]","A_23_P39056",3.80540909090909,0.00000320213690715722,8.43848288519863
"A_23_P35293",3.79340909090909,5.94904,7.22127065247097,0.0000000000958849730468778,0.0000000632160983289436,14.1685223890609,"GJB5","gap junction protein beta 5 [Source:HGNC Symbol;Acc:HGNC:4287]","A_23_P35293",3.79340909090909,0.0000000632160983289436,14.1685223890609
"A_33_P3420466",3.77722727272727,8.42995,6.23256082429859,0.000000010497644080286,0.00000137117577274338,9.68536181683505,"MATN3","matrilin 3 [Source:HGNC Symbol;Acc:HGNC:6909]","A_33_P3420466",3.77722727272727,0.00000137117577274338,9.68536181683505
